"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
47, -6.096000000000000e-02, 3.956191373855600e-04, 1.138319825785429e+00, 7.871086377608731e+01, 5.664581492878677e-06, 2.458505925907823e+05, 9.725172044615282e+04, 2.976208402244004e+02, 1.999354774358358e-01, 1.884919715726183e-01, 1.834636903805740e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
48, -6.096000000000000e-02, 3.577531478782003e-04, 1.138319826347259e+00, 7.871086274246581e+01, 5.204666501866178e-06, 2.458505926859709e+05, 9.725172051335407e+04, 2.976208402831633e+02, 1.999354746918891e-01, 1.884919963815540e-01, 1.834636904084869e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
49, -6.096000000000000e-02, 3.228591307813811e-04, 1.138319826815367e+00, 7.871086203603207e+01, 4.782876115273120e-06, 2.458505927759820e+05, 9.725172056934508e+04, 2.976208403321236e+02, 1.999354727987944e-01, 1.884920170519629e-01, 1.834636904317435e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
50, -6.096000000000000e-02, 2.906472100822222e-04, 1.138319827205273e+00, 7.871086168834793e+01, 4.394112128955096e-06, 2.458505928676007e+05, 9.725172061598189e+04, 2.976208403729038e+02, 1.999354718334521e-01, 1.884920342690458e-01, 1.834636904511143e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
51, -6.096000000000000e-02, 2.608497908198404e-04, 1.138319827529902e+00, 7.871086171437386e+01, 4.033185160049861e-06, 2.458505929656949e+05, 9.725172065481015e+04, 2.976208404068541e+02, 1.999354718311394e-01, 1.884920486034198e-01, 1.834636904672411e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
52, -6.096000000000000e-02, 2.332193360865242e-04, 1.138319827800011e+00, 7.871086210537408e+01, 3.694829132815651e-06, 2.458505930728492e+05, 9.725172068711564e+04, 2.976208404350974e+02, 1.999354727674002e-01, 1.884920605297552e-01, 1.834636904806568e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
53, -6.096000000000000e-02, 2.075263106576464e-04, 1.138319828024532e+00, 7.871086282901811e+01, 3.373803794741838e-06, 2.458505931894752e+05, 9.725172071396574e+04, 2.976208404585647e+02, 1.999354745582295e-01, 1.884920704421070e-01, 1.834636904918041e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
54, -6.096000000000000e-02, 1.835572741674951e-04, 1.138319828210860e+00, 7.871086383539176e+01, 3.065067485585694e-06, 2.458505933143136e+05, 9.725172073624440e+04, 2.976208404780277e+02, 1.999354770752806e-01, 1.884920786668031e-01, 1.834636905010491e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
55, -6.096000000000000e-02, 1.611131079903361e-04, 1.138319828365096e+00, 7.871086506519397e+01, 2.763984568509254e-06, 2.458505934450732e+05, 9.725172075468110e+04, 2.976208404941237e+02, 1.999354801666359e-01, 1.884920854731459e-01, 1.834636905086949e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
56, -6.096000000000000e-02, 1.400073610968800e-04, 1.138319828492250e+00, 7.871086645615021e+01, 2.466529433554930e-06, 2.458505935789343e+05, 9.725172076987523e+04, 2.976208405073775e+02, 1.999354836730542e-01, 1.884920910824209e-01, 1.834636905149905e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
